"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 18 10:37:32 UTC 2026","Thu Jun 18 10:37:33 UTC 2026","1047","chromium","smoke.spec.js","Smoke Tests","","","Room cards are displayed",""
"passed","Thu Jun 18 10:37:42 UTC 2026","Thu Jun 18 10:37:44 UTC 2026","1974","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should handle page reload without errors",""
"passed","Thu Jun 18 10:37:19 UTC 2026","Thu Jun 18 10:37:20 UTC 2026","1298","chromium","search.spec.js","Navigation and Search Tests","","","Should display multiple room cards",""
"passed","Thu Jun 18 10:37:33 UTC 2026","Thu Jun 18 10:37:34 UTC 2026","850","chromium","smoke.spec.js","Smoke Tests","","","Booking form is present",""
"passed","Thu Jun 18 10:37:23 UTC 2026","Thu Jun 18 10:37:24 UTC 2026","1572","chromium","search.spec.js","Navigation and Search Tests","","","Should scroll to booking section when clicked",""
"passed","Thu Jun 18 10:37:52 UTC 2026","Thu Jun 18 10:37:54 UTC 2026","2032","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should measure page load performance",""
"passed","Thu Jun 18 10:37:36 UTC 2026","Thu Jun 18 10:37:38 UTC 2026","1547","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should be responsive on mobile landscape",""
"passed","Thu Jun 18 10:36:38 UTC 2026","Thu Jun 18 10:36:43 UTC 2026","4867","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should complete full booking flow with generated data",""
"passed","Thu Jun 18 10:37:31 UTC 2026","Thu Jun 18 10:37:32 UTC 2026","738","chromium","smoke.spec.js","Smoke Tests","","","Navigation bar is present",""
"passed","Thu Jun 18 10:37:38 UTC 2026","Thu Jun 18 10:37:39 UTC 2026","1621","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should be responsive on tablet viewport",""
"passed","Thu Jun 18 10:37:17 UTC 2026","Thu Jun 18 10:37:18 UTC 2026","1199","chromium","search.spec.js","Navigation and Search Tests","","","Should display contact section",""
"passed","Thu Jun 18 10:37:18 UTC 2026","Thu Jun 18 10:37:19 UTC 2026","1199","chromium","search.spec.js","Navigation and Search Tests","","","Should have clickable room cards with book buttons",""
"passed","Thu Jun 18 10:36:47 UTC 2026","Thu Jun 18 10:36:52 UTC 2026","4651","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should test booking form across different viewports",""
"passed","Thu Jun 18 10:37:12 UTC 2026","Thu Jun 18 10:37:14 UTC 2026","1243","chromium","home.spec.js","Home Page Tests","","","Should display multiple page sections",""
"passed","Thu Jun 18 10:37:44 UTC 2026","Thu Jun 18 10:37:48 UTC 2026","3370","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should handle multiple page reloads",""
"passed","Thu Jun 18 10:37:09 UTC 2026","Thu Jun 18 10:37:10 UTC 2026","1230","chromium","home.spec.js","Home Page Tests","","","Should display room cards on page",""
"passed","Thu Jun 18 10:36:43 UTC 2026","Thu Jun 18 10:36:46 UTC 2026","2952","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should handle multiple user bookings",""
"passed","Thu Jun 18 10:37:26 UTC 2026","Thu Jun 18 10:37:27 UTC 2026","1187","chromium","search.spec.js","Navigation and Search Tests","","","Should display hero section on page",""
"passed","Thu Jun 18 10:37:50 UTC 2026","Thu Jun 18 10:37:52 UTC 2026","2591","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should have consistent UI after navigation and reload",""
"passed","Thu Jun 18 10:36:52 UTC 2026","Thu Jun 18 10:36:54 UTC 2026","1932","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should verify room selection and booking integration",""
"passed","Thu Jun 18 10:37:39 UTC 2026","Thu Jun 18 10:37:42 UTC 2026","2892","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should display navigation menu across viewports",""
"passed","Thu Jun 18 10:37:01 UTC 2026","Thu Jun 18 10:37:02 UTC 2026","1207","chromium","booking.spec.js","Booking Form Tests","","","Should display booking form on page load",""
"passed","Thu Jun 18 10:37:11 UTC 2026","Thu Jun 18 10:37:12 UTC 2026","1266","chromium","home.spec.js","Home Page Tests","","","Should display footer with content",""
"passed","Thu Jun 18 10:37:07 UTC 2026","Thu Jun 18 10:37:09 UTC 2026","1281","chromium","home.spec.js","Home Page Tests","","","Should load home page successfully",""
"passed","Thu Jun 18 10:37:06 UTC 2026","Thu Jun 18 10:37:07 UTC 2026","1116","chromium","booking.spec.js","Booking Form Tests","","","Should show booking form is interactive",""
"passed","Thu Jun 18 10:37:02 UTC 2026","Thu Jun 18 10:37:04 UTC 2026","1214","chromium","booking.spec.js","Booking Form Tests","","","Should load homepage with correct URL",""
"passed","Thu Jun 18 10:36:59 UTC 2026","Thu Jun 18 10:37:00 UTC 2026","1141","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should validate booking form input validation",""
"passed","Thu Jun 18 10:36:46 UTC 2026","Thu Jun 18 10:36:47 UTC 2026","1297","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should validate form with different date ranges",""
"passed","Thu Jun 18 10:37:22 UTC 2026","Thu Jun 18 10:37:23 UTC 2026","1313","chromium","search.spec.js","Navigation and Search Tests","","","Should display amenities on room cards",""
"passed","Thu Jun 18 10:37:14 UTC 2026","Thu Jun 18 10:37:15 UTC 2026","1232","chromium","home.spec.js","Home Page Tests","","","Should have clickable room book buttons",""
"passed","Thu Jun 18 10:37:15 UTC 2026","Thu Jun 18 10:37:17 UTC 2026","1591","chromium","search.spec.js","Navigation and Search Tests","","","Should navigate between page sections",""
"passed","Thu Jun 18 10:37:28 UTC 2026","Thu Jun 18 10:37:29 UTC 2026","1233","chromium","search.spec.js","Navigation and Search Tests","","","Should retrieve and display room details",""
"passed","Thu Jun 18 10:36:54 UTC 2026","Thu Jun 18 10:36:55 UTC 2026","1185","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should measure and validate page performance",""
"passed","Thu Jun 18 10:37:35 UTC 2026","Thu Jun 18 10:37:36 UTC 2026","1449","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should be responsive on mobile viewport",""
"passed","Thu Jun 18 10:37:29 UTC 2026","Thu Jun 18 10:37:31 UTC 2026","1312","chromium","search.spec.js","Navigation and Search Tests","","","Should have all key sections on home page",""
"passed","Thu Jun 18 10:37:05 UTC 2026","Thu Jun 18 10:37:06 UTC 2026","1482","chromium","booking.spec.js","Booking Form Tests","","","Should validate booking form with test data",""
"passed","Thu Jun 18 10:37:24 UTC 2026","Thu Jun 18 10:37:26 UTC 2026","1243","chromium","search.spec.js","Navigation and Search Tests","","","Should display room prices",""
"passed","Thu Jun 18 10:37:04 UTC 2026","Thu Jun 18 10:37:05 UTC 2026","1218","chromium","booking.spec.js","Booking Form Tests","","","Should display all required booking form input fields",""
"passed","Thu Jun 18 10:37:31 UTC 2026","Thu Jun 18 10:37:31 UTC 2026","466","chromium","smoke.spec.js","Smoke Tests","","","Application loads successfully",""
"passed","Thu Jun 18 10:36:55 UTC 2026","Thu Jun 18 10:36:59 UTC 2026","3616","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should verify all page sections are accessible",""
"passed","Thu Jun 18 10:37:54 UTC 2026","Thu Jun 18 10:37:57 UTC 2026","3043","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should verify responsive room grid layout",""
"passed","Thu Jun 18 10:37:20 UTC 2026","Thu Jun 18 10:37:21 UTC 2026","1239","chromium","search.spec.js","Navigation and Search Tests","","","Should display room titles on all cards",""
"passed","Thu Jun 18 10:37:10 UTC 2026","Thu Jun 18 10:37:11 UTC 2026","1218","chromium","home.spec.js","Home Page Tests","","","Should display navigation menu",""
"passed","Thu Jun 18 10:37:34 UTC 2026","Thu Jun 18 10:37:35 UTC 2026","1032","chromium","smoke.spec.js","Smoke Tests","","","Basic form inputs are functional",""
"passed","Thu Jun 18 10:37:48 UTC 2026","Thu Jun 18 10:37:50 UTC 2026","1902","chromium","ui.spec.js","UI and Responsiveness Tests","","","Should maintain layout integrity on desktop",""
"passed","Thu Jun 18 10:37:00 UTC 2026","Thu Jun 18 10:37:01 UTC 2026","1309","chromium","advanced-booking.spec.js","Advanced Booking Flow","","","Should handle form clear and refill",""
"passed","Thu Jun 18 10:37:27 UTC 2026","Thu Jun 18 10:37:28 UTC 2026","1301","chromium","search.spec.js","Navigation and Search Tests","","","Should display location section with map",""
